Assembly	filter500
# contigs (>= 0 bp)	67
# contigs (>= 1000 bp)	56
# contigs (>= 5000 bp)	51
# contigs (>= 10000 bp)	45
# contigs (>= 25000 bp)	32
# contigs (>= 50000 bp)	14
Total length (>= 0 bp)	2268869
Total length (>= 1000 bp)	2261939
Total length (>= 5000 bp)	2247304
Total length (>= 10000 bp)	2208718
Total length (>= 25000 bp)	1986915
Total length (>= 50000 bp)	1371208
# contigs	66
Largest contig	210009
Total length	2268404
GC (%)	48.45
N50	75957
N75	32834
L50	11
L75	22
# N's per 100 kbp	21.56
